Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
FAQ,1000,2100,1550,2020-01-09
FAQ,700,1500,1100,2020-01-10
FAQ,700,1700,1200,2020-01-13
FAQ,700,1400,1050,2020-01-17
FAQ,600,1500,1050,2020-01-20
FAQ,400,1400,900,2020-01-21
FAQ,600,1000,800,2020-01-24
FAQ,500,900,700,2020-01-29
FAQ,500,1000,750,2020-02-03
FAQ,500,900,700,2020-02-13
FAQ,500,1000,750,2020-02-17
FAQ,600,1000,800,2020-02-20
FAQ,400,700,550,2020-03-03
FAQ,500,900,700,2020-03-06
FAQ,400,600,500,2020-05-04
FAQ,400,600,500,2020-05-05
FAQ,200,400,300,2020-06-04
FAQ,500,1500,1000,2020-06-17
FAQ,3500,4000,3750,2020-07-06
FAQ,3000,3700,3350,2020-07-08
FAQ,3000,3700,3350,2020-07-10
FAQ,2000,3500,2750,2020-07-31
FAQ,2000,3500,2250,2020-08-07
FAQ,2600,2800,2700,2020-08-17
FAQ,2600,2800,2700,2020-08-18
FAQ,3500,3800,3650,2020-09-16
FAQ,3400,3600,3500,2020-09-23
FAQ,2500,2800,2650,2020-10-08
FAQ,2600,2900,2750,2020-10-21
FAQ,2300,2700,2500,2020-11-26
FAQ,700,1300,1000,2020-12-22
FAQ,800,1300,1050,2021-01-07
FAQ,400,900,650,2021-01-18
FAQ,400,900,650,2021-01-25
FAQ,600,1000,800,2021-01-28
FAQ,700,1100,900,2021-02-04
FAQ,600,1200,900,2021-02-08
FAQ,600,1300,950,2021-02-09
FAQ,700,1300,1000,2021-02-11
FAQ,500,1400,950,2021-02-18
FAQ,400,1100,750,2021-02-19
FAQ,500,1000,750,2021-02-22
FAQ,400,900,650,2021-02-26
FAQ,400,800,600,2021-03-03
FAQ,400,1000,700,2021-03-05
FAQ,500,800,650,2021-03-09
FAQ,400,800,700,2021-03-12
FAQ,700,1100,900,2021-03-13
FAQ,600,1300,950,2021-03-15
FAQ,600,1300,950,2021-03-16
FAQ,500,1100,800,2021-03-22
FAQ,600,1300,800,2021-03-30
FAQ,1000,1400,1200,2021-04-05
FAQ,800,1200,1000,2021-04-06
FAQ,800,1200,1000,2021-04-07
FAQ,1000,1200,1100,2021-04-08
FAQ,700,1200,950,2021-04-09
FAQ,400,500,450,2021-06-07
FAQ,300,600,450,2021-06-18
FAQ,400,800,600,2021-06-21
FAQ,1000,2800,1900,2021-07-20
FAQ,2500,3000,2750,2021-09-27
FAQ,3500,3800,3650,2021-10-14
FAQ,3800,4000,3900,2021-10-18
FAQ,3800,4000,3900,2021-10-20
FAQ,2800,4200,3500,2021-10-21
FAQ,2800,4200,3500,2021-10-22
FAQ,2000,3800,2900,2021-10-28
FAQ,2400,3500,2950,2021-10-29
FAQ,2400,3500,2950,2021-11-01
FAQ,3000,4500,3750,2021-11-03
FAQ,3000,4500,3750,2021-11-10
FAQ,3000,4200,3600,2021-11-12
FAQ,4000,4500,4250,2021-11-23
FAQ,2800,3400,3100,2021-11-25
FAQ,3100,3600,3350,2021-12-10
FAQ,2000,2500,2250,2021-12-24
FAQ,2000,2200,2100,2021-12-31
FAQ,800,900,850,2022-01-21
FAQ,700,800,750,2022-02-07
FAQ,900,1000,950,2022-02-22
FAQ,900,1000,950,2022-02-25
FAQ,900,1000,950,2022-03-09
FAQ,1300,1400,1350,2022-03-24
FAQ,800,1000,900,2022-04-29
FAQ,2500,3000,2750,2022-06-20
FAQ,2400,3000,2700,2022-09-12
FAQ,2400,3000,2700,2022-09-13
FAQ,2000,2500,2250,2022-09-14
FAQ,2000,2600,2300,2022-09-16
FAQ,2200,3200,2700,2022-09-19
FAQ,2200,2500,2350,2022-09-20
FAQ,2400,3100,2750,2022-09-22
FAQ,2000,2400,2200,2022-09-23
FAQ,2000,2600,2300,2022-09-27
FAQ,2000,2800,2400,2022-09-28
FAQ,2600,3000,2800,2022-09-29
FAQ,2600,3000,2800,2022-09-30
