date,Crop,State,District Name,Market Name,min_price,max_price,modal_price,day,month,year,week_number,season,lag_1,lag_2,lag_7,ma_3,ma_7,price_change_pct,price_volatility
2020-02-03,Potato,Rajasthan,Jaipur,Jaipur (F&V),1000,1100,1050,3,2,2020,6,Winter,1100.0,1100.0,1450.0,1116.6666666666667,1285.7142857142858,0.0,0.05176215263755434
2020-02-13,Potato,Rajasthan,Jaipur,Jaipur (F&V),900,1150,1025,13,2,2020,7,Winter,1050.0,1100.0,1450.0,1083.3333333333333,1228.5714285714287,-0.04545454504132232,0.049058197880599314
2020-02-17,Onion,Rajasthan,Jaipur,Jaipur (F&V),1400,2400,1900,17,2,2020,8,Winter,1950.0,2750.0,3750.0,2733.3333333333335,3064.285714285714,-0.29090908985123964,0.16115523420021485
2020-02-17,Potato,Rajasthan,Jaipur,Jaipur (F&V),800,1100,950,17,2,2020,8,Winter,1025.0,1050.0,1450.0,1058.3333333333333,1167.857142857143,-0.023809523582766442,0.046246630779482316
2020-02-20,Onion,Rajasthan,Jaipur,Jaipur (F&V),1400,2500,1950,20,2,2020,8,Winter,1900.0,1950.0,3500.0,2200.0,2800.0,-0.0256410255095332,0.15100587855114092
2020-02-20,Potato,Rajasthan,Jaipur,Jaipur (F&V),900,1200,1050,20,2,2020,8,Winter,950.0,1025.0,1300.0,1008.3333333333334,1096.4285714285713,-0.07317073099345628,0.04181252632645078
2020-03-03,Potato,Rajasthan,Jaipur,Jaipur (F&V),1100,1400,1250,3,3,2020,10,Summer,1050.0,950.0,1150.0,1008.3333333333334,1060.7142857142858,0.10526315678670362,0.06925957498049318
2020-03-03,Onion,Rajasthan,Jaipur,Jaipur (F&V),1000,2200,1600,3,3,2020,10,Summer,1950.0,1900.0,3000.0,1933.3333333333333,2578.5714285714284,0.026315789335180056,0.15656233546034082
2020-03-06,Potato,Rajasthan,Jaipur,Jaipur (F&V),1100,1400,1250,6,3,2020,10,Summer,1250.0,1050.0,1100.0,1083.3333333333333,1075.0,0.19047618866213153,0.0961905388414533
2020-03-06,Onion,Rajasthan,Jaipur,Jaipur (F&V),1000,2200,1600,6,3,2020,10,Summer,1600.0,1950.0,3000.0,1816.6666666666667,2378.5714285714284,-0.1794871785667324,0.16002885657446805
2020-05-15,Onion,Rajasthan,Jaipur,Jaipur (F&V),400,900,750,15,5,2020,20,Summer,1600.0,1600.0,3500.0,1716.6666666666667,2178.5714285714284,0.0,0.16002885657446805
2020-05-15,Potato,Rajasthan,Jaipur,Jaipur (F&V),1300,1600,1550,15,5,2020,20,Summer,1250.0,1250.0,1100.0,1183.3333333333333,1096.4285714285713,0.0,0.09308688277254762
2020-06-04,Onion,Rajasthan,Jaipur,Jaipur (F&V),400,800,600,4,6,2020,23,Monsoon,750.0,1600.0,2750.0,1316.6666666666667,1785.7142857142858,-0.5312499966796875,0.19805725996347265
2020-06-15,Potato,Rajasthan,Jaipur,Jaipur (F&V),1400,1700,1550,15,6,2020,25,Monsoon,1550.0,1250.0,1050.0,1350.0,1160.7142857142858,0.23999999808000003,0.12305156278114929
2020-06-15,Onion,Rajasthan,Jaipur,Jaipur (F&V),400,1100,750,15,6,2020,25,Monsoon,600.0,750.0,1950.0,983.3333333333334,1478.5714285714287,-0.19999999733333337,0.19764141810806402
2020-06-17,Potato,Rajasthan,Jaipur,Jaipur (F&V),1400,1700,1550,17,6,2020,25,Monsoon,1550.0,1550.0,1025.0,1450.0,1232.142857142857,0.0,0.11788482825657357
