Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,State
1,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,200,400,300,04-Jun-20,
2,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,600,450,05-May-25,
3,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,600,450,06-May-25,
4,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,600,450,18-Jun-21,
5,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,700,500,07-May-25,
6,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,700,500,08-May-25,
7,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,700,500,09-May-25,
8,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,700,500,21-Apr-25,
9,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,800,550,06-Mar-25,
10,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,800,550,08-Apr-25,
11,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,800,550,12-Jan-23,
12,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,800,550,13-Jan-23,
13,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,900,600,04-Mar-25,
14,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,900,600,05-Mar-25,
15,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,1000,650,24-Apr-25,
16,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,1100,700,27-Jan-23,
17,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,300,1500,900,16-Jan-25,
18,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,500,450,07-Jun-21,
19,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,600,500,04-May-20,
20,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,600,500,05-May-20,
21,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,700,550,03-Mar-20,
22,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,700,550,13-May-25,
23,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,700,550,25-Apr-25,
24,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,03-Mar-21,
25,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,04-Jan-23,
26,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,06-Jan-23,
27,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,10-Jan-23,
28,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,14-May-24,
29,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,16-May-24,
30,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,19-Dec-22,
31,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,21-Jun-21,
32,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,21-May-24,
33,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,24-Mar-25,
34,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,25-Mar-25,
35,Jaipur,Jaipur (F&V),Tomato,Other,FAQ,400,800,600,26-Dec-22,
